"","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8"
"1","Afghanistan","Albania","Argentina","Australia","Armenia","Austria","Bahrain","Algeria"
"2","Bangladesh","Bosnia and Herzegovina","Bolivia","Canada","Azerbaijan","Belgium","Cambodia","Angola"
"3","Benin","Bulgaria","Brazil","New Zealand","Belarus","Denmark","China","Belize"
"4","Botswana","Croatia","Chile","United States","Georgia","Finland","Egypt","Bhutan"
"5","Burkina Faso","Cyprus","Colombia",NA,"Kazakhstan","France","Hong Kong SAR, China","Burundi"
"6","Cameroon","Czech Republic","Costa Rica",NA,"Kyrgyzstan","Germany","India","Haiti"
"7","Central African Republic","Estonia","Dominican Republic",NA,"Moldova","Iceland","Indonesia","Jamaica"
"8","Chad","Greece","Ecuador",NA,"Russia","Ireland","Iran","Laos"
"9","Congo (Brazzaville)","Hungary","El Salvador",NA,"Tajikistan","Luxembourg","Israel","Lesotho"
"10","Congo (Kinshasa)","Italy","Guatemala",NA,"Turkmenistan","Malta","Japan","Malaysia"
"11","Ethiopia","Kosovo","Honduras",NA,"Ukraine","Netherlands","Kuwait","Namibia"
"12","Gabon","Latvia","Mexico",NA,"Uzbekistan","Norway","Lebanon","Sudan"
"13","Ghana","Lithuania","Nicaragua",NA,NA,"Singapore","Libya","Syria"
"14","Guinea","Macedonia","Panama",NA,NA,"Sweden","Mauritius","Trinidad and Tobago"
"15","Iraq","Montenegro","Paraguay",NA,NA,"Switzerland","Mongolia",NA
"16","Ivory Coast","North Cyprus","Peru",NA,NA,"United Kingdom","Myanmar",NA
"17","Jordan","Poland","Uruguay",NA,NA,NA,"Nepal",NA
"18","Kenya","Portugal","Venezuela",NA,NA,NA,"Pakistan",NA
"19","Liberia","Romania",NA,NA,NA,NA,"Philippines",NA
"20","Madagascar","Serbia",NA,NA,NA,NA,"Qatar",NA
"21","Malawi","Slovakia",NA,NA,NA,NA,"Saudi Arabia",NA
"22","Mali","Slovenia",NA,NA,NA,NA,"South Korea",NA
"23","Mauritania","Spain",NA,NA,NA,NA,"Sri Lanka",NA
"24","Morocco",NA,NA,NA,NA,NA,"Taiwan Province of China",NA
"25","Mozambique",NA,NA,NA,NA,NA,"Thailand",NA
"26","Niger",NA,NA,NA,NA,NA,"Turkey",NA
"27","Nigeria",NA,NA,NA,NA,NA,"United Arab Emirates",NA
"28","Palestinian Territories",NA,NA,NA,NA,NA,"Vietnam",NA
"29","Rwanda",NA,NA,NA,NA,NA,NA,NA
"30","Senegal",NA,NA,NA,NA,NA,NA,NA
"31","Sierra Leone",NA,NA,NA,NA,NA,NA,NA
"32","Somalia",NA,NA,NA,NA,NA,NA,NA
"33","South Africa",NA,NA,NA,NA,NA,NA,NA
"34","South Sudan",NA,NA,NA,NA,NA,NA,NA
"35","Tanzania",NA,NA,NA,NA,NA,NA,NA
"36","Togo",NA,NA,NA,NA,NA,NA,NA
"37","Tunisia",NA,NA,NA,NA,NA,NA,NA
"38","Uganda",NA,NA,NA,NA,NA,NA,NA
"39","Yemen",NA,NA,NA,NA,NA,NA,NA
"40","Zambia",NA,NA,NA,NA,NA,NA,NA
"41","Zimbabwe",NA,NA,NA,NA,NA,NA,NA
